Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Wed Jan  3 16:55:34 2024
| Host         : sophitia running 64-bit major release  (build 9200)
| Command      : report_utilization -hierarchical
| Design       : design_1_wrapper
| Device       : 7z020clg484-1
| Design State : Routed
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-----------------------------------------------------------------------------+-----------------------------------------------------------------------------------+----------------+--------------+------------+------------+---------+------+------+--------+--------+--------------+
|                                   Instance                                  |                                       Module                                      |  PR Attribute  | Total PPLOCs | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP48 Blocks |
|               gen_debug_csr.dscratch0_csr_i                                 |                                                                    cv32e40x_csr_2 | Reconfigurable |            - |          1 |          1 |       0 |    0 |   32 |      0 |      0 |            0 |
|               gen_debug_csr.dscratch1_csr_i                                 |                                                                    cv32e40x_csr_3 | Reconfigurable |            - |          4 |          4 |       0 |    0 |   32 |      0 |      0 |            0 |
|               jvt_csr_i                                                     |                                                                    cv32e40x_csr_4 | Reconfigurable |            - |          2 |          2 |       0 |    0 |   26 |      0 |      0 |            0 |
|               mepc_csr_i                                                    |                                                                    cv32e40x_csr_5 | Reconfigurable |            - |          0 |          0 |       0 |    0 |   31 |      0 |      0 |            0 |
|               mscratch_csr_i                                                |                                                                    cv32e40x_csr_6 | Reconfigurable |            - |          0 |          0 |       0 |    0 |   32 |      0 |      0 |            0 |
|               mstatus_csr_i                                                 |                                                      cv32e40x_csr__parameterized2 | Reconfigurable |            - |          0 |          0 |       0 |    0 |    2 |      0 |      0 |            0 |
|             ex_stage_i                                                      |                                                                 cv32e40x_ex_stage | Reconfigurable |            - |        886 |        886 |       0 |    0 |  278 |      0 |      0 |            3 |
|               (ex_stage_i)                                                  |                                                                 cv32e40x_ex_stage | Reconfigurable |            - |        617 |        617 |       0 |    0 |  136 |      0 |      0 |            0 |
|               alu_i                                                         |                                                                      cv32e40x_alu | Reconfigurable |            - |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            0 |
|               div.div_i                                                     |                                                                      cv32e40x_div | Reconfigurable |            - |        184 |        184 |       0 |    0 |  107 |      0 |      0 |            0 |
|               mul.mult_i                                                    |                                                                     cv32e40x_mult | Reconfigurable |            - |         86 |         86 |       0 |    0 |   35 |      0 |      0 |            3 |
|             id_stage_i                                                      |                                                                 cv32e40x_id_stage | Reconfigurable |            - |       1102 |       1102 |       0 |    0 |  238 |      0 |      0 |            0 |
|               (id_stage_i)                                                  |                                                                 cv32e40x_id_stage | Reconfigurable |            - |       1102 |       1102 |       0 |    0 |  238 |      0 |      0 |            0 |
|               cv32e40x_pc_target_i                                          |                                                                cv32e40x_pc_target | Reconfigurable |            - |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            0 |
|             if_stage_i                                                      |                                                                 cv32e40x_if_stage | Reconfigurable |            - |       1013 |       1013 |       0 |    0 |  292 |      0 |      0 |            0 |
|               (if_stage_i)                                                  |                                                                 cv32e40x_if_stage | Reconfigurable |            - |        279 |        279 |       0 |    0 |  108 |      0 |      0 |            0 |
|               gen_seq.sequencer_i                                           |                                                                cv32e40x_sequencer | Reconfigurable |            - |         56 |         56 |       0 |    0 |    7 |      0 |      0 |            0 |
|               mpu_i                                                         |                                                                      cv32e40x_mpu | Reconfigurable |            - |          3 |          3 |       0 |    0 |    2 |      0 |      0 |            0 |
|               prefetch_unit_i                                               |                                                            cv32e40x_prefetch_unit | Reconfigurable |            - |        675 |        675 |       0 |    0 |  175 |      0 |      0 |            0 |
|                 alignment_buffer_i                                          |                                                         cv32e40x_alignment_buffer | Reconfigurable |            - |        585 |        585 |       0 |    0 |  155 |      0 |      0 |            0 |
|                 prefetcher_i                                                |                                                               cv32e40x_prefetcher | Reconfigurable |            - |         90 |         90 |       0 |    0 |   20 |      0 |      0 |            0 |
|             load_store_unit_i                                               |                                                          cv32e40x_load_store_unit | Reconfigurable |            - |        253 |        253 |       0 |    0 |   48 |      0 |      0 |            0 |
|               (load_store_unit_i)                                           |                                                          cv32e40x_load_store_unit | Reconfigurable |            - |        168 |        168 |       0 |    0 |   41 |      0 |      0 |            0 |
|               gen_wpt.wpt_i                                                 |                                                                      cv32e40x_wpt | Reconfigurable |            - |         10 |         10 |       0 |    0 |    2 |      0 |      0 |            0 |
|               mpu_i                                                         |                                                      cv32e40x_mpu__parameterized0 | Reconfigurable |            - |         14 |         14 |       0 |    0 |    3 |      0 |      0 |            0 |
|               response_filter_i                                             |                                                      cv32e40x_lsu_response_filter | Reconfigurable |            - |         61 |         61 |       0 |    0 |    2 |      0 |      0 |            0 |
|             register_file_wrapper_i                                         |                                                    cv32e40x_register_file_wrapper | Reconfigurable |            - |        603 |        603 |       0 |    0 |  992 |      0 |      0 |            0 |
|               register_file_i                                               |                                                            cv32e40x_register_file | Reconfigurable |            - |        603 |        603 |       0 |    0 |  992 |      0 |      0 |            0 |
|             sleep_unit_i                                                    |                                                               cv32e40x_sleep_unit | Reconfigurable |            - |          1 |          1 |       0 |    0 |    1 |      0 |      0 |            0 |
|             wb_stage_i                                                      |                                                                 cv32e40x_wb_stage | Reconfigurable |            - |          4 |          4 |       0 |    0 |    4 |      0 |      0 |            0 |
|           dp_ram_1                                                          |                                                                          dp_ram_1 | Reconfigurable |            - |          1 |          1 |       0 |    0 |    0 |      8 |      0 |            0 |
|           dp_ram_2                                                          |                                                                          dp_ram_2 | Reconfigurable |            - |          4 |          4 |       0 |    0 |    0 |      8 |      0 |            0 |
|           dp_ram_3                                                          |                                                                          dp_ram_3 | Reconfigurable |            - |          9 |          9 |       0 |    0 |    0 |      8 |      0 |            0 |
|           dp_ram_4                                                          |                                                                          dp_ram_4 | Reconfigurable |            - |          4 |          4 |       0 |    0 |    0 |      8 |      0 |            0 |
|     RISC_IP_CHECK                                                           |                                                             design_1_axi_gpio_1_1 |         Static |            - |        113 |        113 |       0 |    0 |  325 |      0 |      0 |            0 |
|       U0                                                                    |                                                    design_1_axi_gpio_1_1_axi_gpio |         Static |            - |        113 |        113 |       0 |    0 |  325 |      0 |      0 |            0 |
|         (U0)                                                                |                                                    design_1_axi_gpio_1_1_axi_gpio |         Static |            - |          0 |          0 |       0 |    0 |   34 |      0 |      0 |            0 |
|         AXI_LITE_IPIF_I                                                     |                                               design_1_axi_gpio_1_1_axi_lite_ipif |         Static |            - |        110 |        110 |       0 |    0 |   58 |      0 |      0 |            0 |
|           I_SLAVE_ATTACHMENT                                                |                                            design_1_axi_gpio_1_1_slave_attachment |         Static |            - |        110 |        110 |       0 |    0 |   58 |      0 |      0 |            0 |
|             (I_SLAVE_ATTACHMENT)                                            |                                            design_1_axi_gpio_1_1_slave_attachment |         Static |            - |         50 |         50 |       0 |    0 |   52 |      0 |      0 |            0 |
|             I_DECODER                                                       |                                             design_1_axi_gpio_1_1_address_decoder |         Static |            - |         60 |         60 |       0 |    0 |    6 |      0 |      0 |            0 |
|         gpio_core_1                                                         |                                                   design_1_axi_gpio_1_1_GPIO_Core |         Static |            - |          3 |          3 |       0 |    0 |  233 |      0 |      0 |            0 |
|           (gpio_core_1)                                                     |                                                   design_1_axi_gpio_1_1_GPIO_Core |         Static |            - |          3 |          3 |       0 |    0 |  101 |      0 |      0 |            0 |
|           Dual.INPUT_DOUBLE_REGS4                                           |                                                    design_1_axi_gpio_1_1_cdc_sync |         Static |            - |          0 |          0 |       0 |    0 |  128 |      0 |      0 |            0 |
|           Dual.INPUT_DOUBLE_REGS5                                           |                                    design_1_axi_gpio_1_1_cdc_sync__parameterized0 |         Static |            - |          0 |          0 |       0 |    0 |    4 |      0 |      0 |            0 |
|     STARTUP                                                                 |                                                              design_1_STARTUP_0_0 |         Static |            - |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            0 |
|       inst                                                                  |                                                      design_1_STARTUP_0_0_STARTUP |         Static |            - |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            0 |
|     processing_system7_0                                                    |                                                   design_1_processing_system7_0_0 |         Static |            - |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            0 |
|       (processing_system7_0)                                                |                                                   design_1_processing_system7_0_0 |         Static |            - |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            0 |
|       inst                                                                  |        design_1_processing_system7_0_0_processing_system7_v5_5_processing_system7 |         Static |            - |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            0 |
|     ps7_0_axi_periph                                                        |                                                       design_1_ps7_0_axi_periph_0 |         Static |            - |        499 |        438 |       0 |   61 |  686 |      0 |      0 |            0 |
|       s00_couplers                                                          |                                                           s00_couplers_imp_UYSKKA |         Static |            - |        393 |        332 |       0 |   61 |  572 |      0 |      0 |            0 |
|         auto_pc                                                             |                                                                design_1_auto_pc_0 |         Static |            - |        393 |        332 |       0 |   61 |  572 |      0 |      0 |            0 |
|           inst                                                              |          design_1_auto_pc_0_axi_protocol_converter_v2_1_17_axi_protocol_converter |         Static |            - |        393 |        332 |       0 |   61 |  572 |      0 |      0 |            0 |
|             gen_axilite.gen_b2s_conv.axilite_b2s                            |                             design_1_auto_pc_0_axi_protocol_converter_v2_1_17_b2s |         Static |            - |        393 |        332 |       0 |   61 |  572 |      0 |      0 |            0 |
|               (gen_axilite.gen_b2s_conv.axilite_b2s)                        |                             design_1_auto_pc_0_axi_protocol_converter_v2_1_17_b2s |         Static |            - |          1 |          1 |       0 |    0 |    1 |      0 |      0 |            0 |
|               RD.ar_channel_0                                               |                  design_1_auto_pc_0_axi_protocol_converter_v2_1_17_b2s_ar_channel |         Static |            - |         71 |         71 |       0 |    0 |   83 |      0 |      0 |            0 |
|                 (RD.ar_channel_0)                                           |                  design_1_auto_pc_0_axi_protocol_converter_v2_1_17_b2s_ar_channel |         Static |            - |          0 |          0 |       0 |    0 |   12 |      0 |      0 |            0 |
|                 ar_cmd_fsm_0                                                |                  design_1_auto_pc_0_axi_protocol_converter_v2_1_17_b2s_rd_cmd_fsm |         Static |            - |         13 |         13 |       0 |    0 |    4 |      0 |      0 |            0 |
|                 cmd_translator_0                                            |            design_1_auto_pc_0_axi_protocol_converter_v2_1_17_b2s_cmd_translator_1 |         Static |            - |         58 |         58 |       0 |    0 |   67 |      0 |      0 |            0 |
|                   (cmd_translator_0)                                        |            design_1_auto_pc_0_axi_protocol_converter_v2_1_17_b2s_cmd_translator_1 |         Static |            - |          1 |          1 |       0 |    0 |    3 |      0 |      0 |            0 |
|                   incr_cmd_0                                                |                  design_1_auto_pc_0_axi_protocol_converter_v2_1_17_b2s_incr_cmd_2 |         Static |            - |         27 |         27 |       0 |    0 |   22 |      0 |      0 |            0 |
|                   wrap_cmd_0                                                |                  design_1_auto_pc_0_axi_protocol_converter_v2_1_17_b2s_wrap_cmd_3 |         Static |            - |         30 |         30 |       0 |    0 |   42 |      0 |      0 |            0 |
|               RD.r_channel_0                                                |                   design_1_auto_pc_0_axi_protocol_converter_v2_1_17_b2s_r_channel |         Static |            - |         65 |         18 |       0 |   47 |   56 |      0 |      0 |            0 |
|                 (RD.r_channel_0)                                            |                   design_1_auto_pc_0_axi_protocol_converter_v2_1_17_b2s_r_channel |         Static |            - |          0 |          0 |       0 |    0 |   14 |      0 |      0 |            0 |
|                 rd_data_fifo_0                                              | design_1_auto_pc_0_axi_protocol_converter_v2_1_17_b2s_simple_fifo__parameterized1 |         Static |            - |         43 |          9 |       0 |   34 |   26 |      0 |      0 |            0 |
|                 transaction_fifo_0                                          | design_1_auto_pc_0_axi_protocol_converter_v2_1_17_b2s_simple_fifo__parameterized2 |         Static |            - |         22 |          9 |       0 |   13 |   16 |      0 |      0 |            0 |
|               SI_REG                                                        |                  design_1_auto_pc_0_axi_register_slice_v2_1_17_axi_register_slice |         Static |            - |        151 |        151 |       0 |    0 |  324 |      0 |      0 |            0 |
|                 ar.ar_pipe                                                  |                 design_1_auto_pc_0_axi_register_slice_v2_1_17_axic_register_slice |         Static |            - |         55 |         55 |       0 |    0 |   99 |      0 |      0 |            0 |
|                 aw.aw_pipe                                                  |               design_1_auto_pc_0_axi_register_slice_v2_1_17_axic_register_slice_0 |         Static |            - |         59 |         59 |       0 |    0 |   99 |      0 |      0 |            0 |
|                 b.b_pipe                                                    | design_1_auto_pc_0_axi_register_slice_v2_1_17_axic_register_slice__parameterized1 |         Static |            - |         10 |         10 |       0 |    0 |   30 |      0 |      0 |            0 |
|                 r.r_pipe                                                    | design_1_auto_pc_0_axi_register_slice_v2_1_17_axic_register_slice__parameterized2 |         Static |            - |         27 |         27 |       0 |    0 |   96 |      0 |      0 |            0 |
|               WR.aw_channel_0                                               |                  design_1_auto_pc_0_axi_protocol_converter_v2_1_17_b2s_aw_channel |         Static |            - |         72 |         72 |       0 |    0 |   87 |      0 |      0 |            0 |
|                 (WR.aw_channel_0)                                           |                  design_1_auto_pc_0_axi_protocol_converter_v2_1_17_b2s_aw_channel |         Static |            - |          0 |          0 |       0 |    0 |   16 |      0 |      0 |            0 |
|                 aw_cmd_fsm_0                                                |                  design_1_auto_pc_0_axi_protocol_converter_v2_1_17_b2s_wr_cmd_fsm |         Static |            - |         18 |         18 |       0 |    0 |    4 |      0 |      0 |            0 |
|                 cmd_translator_0                                            |              design_1_auto_pc_0_axi_protocol_converter_v2_1_17_b2s_cmd_translator |         Static |            - |         54 |         54 |       0 |    0 |   67 |      0 |      0 |            0 |
|                   (cmd_translator_0)                                        |              design_1_auto_pc_0_axi_protocol_converter_v2_1_17_b2s_cmd_translator |         Static |            - |          1 |          1 |       0 |    0 |    3 |      0 |      0 |            0 |
|                   incr_cmd_0                                                |                    design_1_auto_pc_0_axi_protocol_converter_v2_1_17_b2s_incr_cmd |         Static |            - |         24 |         24 |       0 |    0 |   22 |      0 |      0 |            0 |
|                   wrap_cmd_0                                                |                    design_1_auto_pc_0_axi_protocol_converter_v2_1_17_b2s_wrap_cmd |         Static |            - |         29 |         29 |       0 |    0 |   42 |      0 |      0 |            0 |
|               WR.b_channel_0                                                |                   design_1_auto_pc_0_axi_protocol_converter_v2_1_17_b2s_b_channel |         Static |            - |         36 |         22 |       0 |   14 |   21 |      0 |      0 |            0 |
|                 (WR.b_channel_0)                                            |                   design_1_auto_pc_0_axi_protocol_converter_v2_1_17_b2s_b_channel |         Static |            - |          9 |          9 |       0 |    0 |   13 |      0 |      0 |            0 |
|                 bid_fifo_0                                                  |                 design_1_auto_pc_0_axi_protocol_converter_v2_1_17_b2s_simple_fifo |         Static |            - |         23 |         11 |       0 |   12 |    6 |      0 |      0 |            0 |
|                 bresp_fifo_0                                                | design_1_auto_pc_0_axi_protocol_converter_v2_1_17_b2s_simple_fifo__parameterized0 |         Static |            - |          4 |          2 |       0 |    2 |    2 |      0 |      0 |            0 |
|       xbar                                                                  |                                                                   design_1_xbar_0 |         Static |            - |        106 |        106 |       0 |    0 |  114 |      0 |      0 |            0 |
