Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Thu Feb 29 13:08:13 2024
| Host         : DESKTOP-9JQALQI running 64-bit major release  (build 9200)
| Command      : report_utilization -hierarchical
| Design       : design_1_wrapper
| Device       : 7z020clg484-1
| Design State : Routed
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-----------------------------------------------------------------------------+------------------------------------------------------------------------------------+----------------+--------------+------------+------------+---------+------+------+--------+--------+--------------+
|                                   Instance                                  |                                       Module                                       |  PR Attribute  | Total PPLOCs | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP48 Blocks |
|           xs[3].ys[1].instnce.nbyn_instance                                 |                                                            switch__parameterized24 | Reconfigurable |            - |         77 |         77 |       0 |    0 |   66 |      0 |      0 |            0 |
|           xs[3].ys[2].instnce.nbyn_instance                                 |                                                            switch__parameterized25 | Reconfigurable |            - |        112 |        112 |       0 |    0 |   66 |      0 |      0 |            0 |
|           xs[3].ys[3].instnce.nbyn_instance                                 |                                                            switch__parameterized26 | Reconfigurable |            - |        159 |        159 |       0 |    0 |   66 |      0 |      0 |            0 |
|           xs[3].ys[4].instnce.nbyn_instance                                 |                                                            switch__parameterized27 | Reconfigurable |            - |         11 |         11 |       0 |    0 |   66 |      0 |      0 |            0 |
|           xs[3].ys[5].instnce.nbyn_instance                                 |                                                            switch__parameterized28 | Reconfigurable |            - |         41 |         41 |       0 |    0 |   66 |      0 |      0 |            0 |
|           xs[3].ys[6].instnce.nbyn_instance                                 |                                                            switch__parameterized29 | Reconfigurable |            - |         72 |         72 |       0 |    0 |   66 |      0 |      0 |            0 |
|           xs[3].ys[7].instnce.nbyn_instance                                 |                                                            switch__parameterized30 | Reconfigurable |            - |         47 |         47 |       0 |    0 |   66 |      0 |      0 |            0 |
|           xs[4].ys[0].instnce.nbyn_instance                                 |                                                            switch__parameterized31 | Reconfigurable |            - |         74 |         74 |       0 |    0 |   66 |      0 |      0 |            0 |
|           xs[4].ys[1].instnce.nbyn_instance                                 |                                                            switch__parameterized32 | Reconfigurable |            - |        117 |        117 |       0 |    0 |   66 |      0 |      0 |            0 |
|           xs[4].ys[2].instnce.nbyn_instance                                 |                                                            switch__parameterized33 | Reconfigurable |            - |         82 |         82 |       0 |    0 |   66 |      0 |      0 |            0 |
|           xs[4].ys[3].instnce.nbyn_instance                                 |                                                            switch__parameterized34 | Reconfigurable |            - |        110 |        110 |       0 |    0 |   66 |      0 |      0 |            0 |
|           xs[4].ys[4].instnce.nbyn_instance                                 |                                                            switch__parameterized35 | Reconfigurable |            - |         79 |         79 |       0 |    0 |   66 |      0 |      0 |            0 |
|           xs[4].ys[5].instnce.nbyn_instance                                 |                                                            switch__parameterized36 | Reconfigurable |            - |         81 |         81 |       0 |    0 |   66 |      0 |      0 |            0 |
|           xs[4].ys[6].instnce.nbyn_instance                                 |                                                            switch__parameterized37 | Reconfigurable |            - |         69 |         69 |       0 |    0 |   66 |      0 |      0 |            0 |
|           xs[4].ys[7].instnce.nbyn_instance                                 |                                                            switch__parameterized38 | Reconfigurable |            - |         77 |         77 |       0 |    0 |   66 |      0 |      0 |            0 |
|           xs[5].ys[0].instnce.nbyn_instance                                 |                                                            switch__parameterized39 | Reconfigurable |            - |         71 |         71 |       0 |    0 |   66 |      0 |      0 |            0 |
|           xs[5].ys[1].instnce.nbyn_instance                                 |                                                            switch__parameterized40 | Reconfigurable |            - |        116 |        116 |       0 |    0 |   66 |      0 |      0 |            0 |
|           xs[5].ys[2].instnce.nbyn_instance                                 |                                                            switch__parameterized41 | Reconfigurable |            - |         39 |         39 |       0 |    0 |   66 |      0 |      0 |            0 |
|           xs[5].ys[3].instnce.nbyn_instance                                 |                                                            switch__parameterized42 | Reconfigurable |            - |         79 |         79 |       0 |    0 |   66 |      0 |      0 |            0 |
|           xs[5].ys[4].instnce.nbyn_instance                                 |                                                            switch__parameterized43 | Reconfigurable |            - |         39 |         39 |       0 |    0 |   66 |      0 |      0 |            0 |
