Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Thu Mar 28 13:54:46 2024
| Host         : DESKTOP-9JQALQI running 64-bit major release  (build 9200)
| Command      : report_utilization -hierarchical
| Design       : design_1_wrapper
| Device       : 7z020clg484-1
| Design State : Routed
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-----------------------------------------------------------------------------+------------------------------------------------------------------------------------+----------------+--------------+------------+------------+---------+------+------+--------+--------+--------------+
|                                   Instance                                  |                                       Module                                       |  PR Attribute  | Total PPLOCs | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP48 Blocks |
|             genblk2[8].relu                                                 |                                                                            ReLU_15 | Reconfigurable |            - |         17 |         17 |       0 |    0 |   34 |      0 |      0 |            0 |
|           SWC                                                               |                                                                  slide_window_conv | Reconfigurable |            - |       1315 |       1315 |       0 |    0 |  504 |      0 |     18 |            0 |
|             genblk4[0].CV                                                   |                                                                    conv__xdcDup__1 | Reconfigurable |            - |        146 |        146 |       0 |    0 |   56 |      0 |      2 |            0 |
|               DUT                                                           |                                                       matrix_multiplier__xdcDup__1 | Reconfigurable |            - |        145 |        145 |       0 |    0 |   52 |      0 |      2 |            0 |
|                 (DUT)                                                       |                                                       matrix_multiplier__xdcDup__1 | Reconfigurable |            - |         49 |         49 |       0 |    0 |    0 |      0 |      0 |            0 |
|                 COLUMN                                                      |                                                                      blk_mem_gen_0 | Reconfigurable |            - |          0 |          0 |       0 |    0 |    0 |      0 |      1 |            0 |
|                   U0                                                        |                                                  blk_mem_gen_0__blk_mem_gen_v8_4_1 | Reconfigurable |            - |          0 |          0 |       0 |    0 |    0 |      0 |      1 |            0 |
|                     inst_blk_mem_gen                                        |                                            blk_mem_gen_0__blk_mem_gen_v8_4_1_synth | Reconfigurable |            - |          0 |          0 |       0 |    0 |    0 |      0 |      1 |            0 |
|                       gnbram.gnativebmg.native_blk_mem_gen                  |                                                     blk_mem_gen_0__blk_mem_gen_top | Reconfigurable |            - |          0 |          0 |       0 |    0 |    0 |      0 |      1 |            0 |
|                         valid.cstr                                          |                                            blk_mem_gen_0__blk_mem_gen_generic_cstr | Reconfigurable |            - |          0 |          0 |       0 |    0 |    0 |      0 |      1 |            0 |
|                           ramloop[0].ram.r                                  |                                              blk_mem_gen_0__blk_mem_gen_prim_width | Reconfigurable |            - |          0 |          0 |       0 |    0 |    0 |      0 |      1 |            0 |
|                             prim_noinit.ram                                 |                                            blk_mem_gen_0__blk_mem_gen_prim_wrapper | Reconfigurable |            - |          0 |          0 |       0 |    0 |    0 |      0 |      1 |            0 |
|                 MAC                                                         |                                                                      mac_generic_7 | Reconfigurable |            - |         96 |         96 |       0 |    0 |   52 |      0 |      0 |            0 |
|                 ROW                                                         |                                                               blk_mem_gen_0_HD1290 | Reconfigurable |            - |          0 |          0 |       0 |    0 |    0 |      0 |      1 |            0 |
|                   U0                                                        |                                           blk_mem_gen_0__blk_mem_gen_v8_4_1_HD1291 | Reconfigurable |            - |          0 |          0 |       0 |    0 |    0 |      0 |      1 |            0 |
|                     inst_blk_mem_gen                                        |                                     blk_mem_gen_0__blk_mem_gen_v8_4_1_synth_HD1292 | Reconfigurable |            - |          0 |          0 |       0 |    0 |    0 |      0 |      1 |            0 |
|                       gnbram.gnativebmg.native_blk_mem_gen                  |                                              blk_mem_gen_0__blk_mem_gen_top_HD1293 | Reconfigurable |            - |          0 |          0 |       0 |    0 |    0 |      0 |      1 |            0 |
|                         valid.cstr                                          |                                     blk_mem_gen_0__blk_mem_gen_generic_cstr_HD1294 | Reconfigurable |            - |          0 |          0 |       0 |    0 |    0 |      0 |      1 |            0 |
|                           ramloop[0].ram.r                                  |                                       blk_mem_gen_0__blk_mem_gen_prim_width_HD1295 | Reconfigurable |            - |          0 |          0 |       0 |    0 |    0 |      0 |      1 |            0 |
|                             prim_noinit.ram                                 |                                     blk_mem_gen_0__blk_mem_gen_prim_wrapper_HD1296 | Reconfigurable |            - |          0 |          0 |       0 |    0 |    0 |      0 |      1 |            0 |
|               common                                                        |                                                                 c_counter_binary_0 | Reconfigurable |            - |          1 |          1 |       0 |    0 |    4 |      0 |      0 |            0 |
|                 U0                                                          |                                      c_counter_binary_0__c_counter_binary_v12_0_12 | Reconfigurable |            - |          1 |          1 |       0 |    0 |    4 |      0 |      0 |            0 |
|                   i_synth                                                   |                                  c_counter_binary_0__c_counter_binary_v12_0_12_viv | Reconfigurable |            - |          1 |          1 |       0 |    0 |    4 |      0 |      0 |            0 |
|                     i_baseblox.i_baseblox_counter                           |                               c_counter_binary_0__c_counter_binary_v12_0_12_legacy | Reconfigurable |            - |          1 |          1 |       0 |    0 |    4 |      0 |      0 |            0 |
|                       the_addsub                                            |                                       c_counter_binary_0__c_addsub_v12_0_12_legacy | Reconfigurable |            - |          1 |          1 |       0 |    0 |    4 |      0 |      0 |            0 |
|                         no_pipelining.the_addsub                            |                                c_counter_binary_0__c_addsub_v12_0_12_fabric_legacy | Reconfigurable |            - |          1 |          1 |       0 |    0 |    4 |      0 |      0 |            0 |
|                           i_lut6.i_lut6_addsub                              |                                  c_counter_binary_0__c_addsub_v12_0_12_lut6_legacy | Reconfigurable |            - |          1 |          1 |       0 |    0 |    4 |      0 |      0 |            0 |
|                             (i_lut6.i_lut6_addsub)                          |                                  c_counter_binary_0__c_addsub_v12_0_12_lut6_legacy | Reconfigurable |            - |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            0 |
|                             i_q.i_simple.qreg                               |                                           c_counter_binary_0__c_reg_fd_v12_0_5_viv | Reconfigurable |            - |          1 |          1 |       0 |    0 |    4 |      0 |      0 |            0 |
|             genblk4[1].CV                                                   |                                                                    conv__xdcDup__2 | Reconfigurable |            - |        146 |        146 |       0 |    0 |   56 |      0 |      2 |            0 |
|               DUT                                                           |                                                       matrix_multiplier__xdcDup__2 | Reconfigurable |            - |        145 |        145 |       0 |    0 |   52 |      0 |      2 |            0 |
|                 (DUT)                                                       |                                                       matrix_multiplier__xdcDup__2 | Reconfigurable |            - |         49 |         49 |       0 |    0 |    0 |      0 |      0 |            0 |
|                 COLUMN                                                      |                                                               blk_mem_gen_0_HD1297 | Reconfigurable |            - |          0 |          0 |       0 |    0 |    0 |      0 |      1 |            0 |
|                   U0                                                        |                                           blk_mem_gen_0__blk_mem_gen_v8_4_1_HD1298 | Reconfigurable |            - |          0 |          0 |       0 |    0 |    0 |      0 |      1 |            0 |
