Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Sun Mar 10 16:44:45 2024
| Host         : DESKTOP-9JQALQI running 64-bit major release  (build 9200)
| Command      : report_utilization -hierarchical
| Design       : design_1_wrapper
| Device       : 7z020clg484-1
| Design State : Routed
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-----------------------------------------------------------------------------+------------------------------------------------------------------------------------+----------------+--------------+------------+------------+---------+------+------+--------+--------+--------------+
|                                   Instance                                  |                                       Module                                       |  PR Attribute  | Total PPLOCs | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP48 Blocks |
|                 gconvfifo.rf                                                |                                                fifo_generator_5_fifo_generator_top | Reconfigurable |            - |         62 |         34 |      28 |    0 |   42 |      0 |      0 |            0 |
|                   grf.rf                                                    |                                            fifo_generator_5_fifo_generator_ramfifo | Reconfigurable |            - |         62 |         34 |      28 |    0 |   42 |      0 |      0 |            0 |
|                     gntv_or_sync_fifo.gl0.rd                                |                                                          fifo_generator_5_rd_logic | Reconfigurable |            - |         18 |         18 |       0 |    0 |   16 |      0 |      0 |            0 |
|                       grss.rsts                                             |                                                fifo_generator_5_rd_status_flags_ss | Reconfigurable |            - |          1 |          1 |       0 |    0 |    2 |      0 |      0 |            0 |
|                       rpntr                                                 |                                                       fifo_generator_5_rd_bin_cntr | Reconfigurable |            - |         17 |         17 |       0 |    0 |   14 |      0 |      0 |            0 |
|                     gntv_or_sync_fifo.gl0.wr                                |                                                          fifo_generator_5_wr_logic | Reconfigurable |            - |         11 |         11 |       0 |    0 |   16 |      0 |      0 |            0 |
|                       gwss.wsts                                             |                                                fifo_generator_5_wr_status_flags_ss | Reconfigurable |            - |          5 |          5 |       0 |    0 |    2 |      0 |      0 |            0 |
|                       wpntr                                                 |                                                       fifo_generator_5_wr_bin_cntr | Reconfigurable |            - |          6 |          6 |       0 |    0 |   14 |      0 |      0 |            0 |
|                     gntv_or_sync_fifo.mem                                   |                                                            fifo_generator_5_memory | Reconfigurable |            - |         33 |          5 |      28 |    0 |   10 |      0 |      0 |            0 |
|                       gdm.dm_gen.dm                                         |                                                              fifo_generator_5_dmem | Reconfigurable |            - |         33 |          5 |      28 |    0 |   10 |      0 |      0 |            0 |
|           IFIFO                                                             |                                                                   fifo_generator_2 | Reconfigurable |            - |        130 |         42 |      88 |    0 |   64 |      0 |      0 |            0 |
|             U0                                                              |                                            fifo_generator_2_fifo_generator_v13_2_2 | Reconfigurable |            - |        130 |         42 |      88 |    0 |   64 |      0 |      0 |            0 |
|               inst_fifo_gen                                                 |                                      fifo_generator_2_fifo_generator_v13_2_2_synth | Reconfigurable |            - |        130 |         42 |      88 |    0 |   64 |      0 |      0 |            0 |
|                 gconvfifo.rf                                                |                                                fifo_generator_2_fifo_generator_top | Reconfigurable |            - |        130 |         42 |      88 |    0 |   64 |      0 |      0 |            0 |
|                   grf.rf                                                    |                                            fifo_generator_2_fifo_generator_ramfifo | Reconfigurable |            - |        130 |         42 |      88 |    0 |   64 |      0 |      0 |            0 |
|                     gntv_or_sync_fifo.gl0.rd                                |                                                          fifo_generator_2_rd_logic | Reconfigurable |            - |         15 |         15 |       0 |    0 |   16 |      0 |      0 |            0 |
|                       grss.rsts                                             |                                                fifo_generator_2_rd_status_flags_ss | Reconfigurable |            - |          1 |          1 |       0 |    0 |    2 |      0 |      0 |            0 |
